State,County,2016dem,2016rep,2012dem,2012rep,2008dem,2008rep,geoID
AK,Aleutians East,186,334,258,327,237,521,2013
AK,Aleutians West,770,451,855,477,751,800,2016
AK,Anchorage,54223,62185,53131,66264,55035,76954,2020
AK,Bethel,3455,1426,3876,1323,3429,2882,2050
AK,Bristol Bay,152,303,170,296,164,427,2060
AK,Denali,397,601,441,522,526,637,2068
AK,Dillingham,1090,737,1111,689,986,1264,2070
AK,Fairbanks North Star,13240,21922,14170,23233,15079,26091,2090
AK,Haines,629,583,632,674,749,852,2100
AK,Hoonah-Angoon,707,432,767,475,721,632,2105
AK,Juneau,7283,4818,8994,6030,8676,6345,2110
AK,Kenai Peninsula,7152,17629,7479,16853,7726,17614,2122
AK,Ketchikan Gateway,2125,3787,2303,3376,2575,3990,2130
AK,Kodiak Island,2003,3124,2110,3152,2049,3908,2150
AK,Kusilvak,1561,528,1866,430,1593,1145,2158
AK,Lake and Peninsula,213,195,242,166,187,305,2164
AK,Matanuska-Susitna,7997,30115,8927,26554,9138,29925,2170
AK,Nome,2181,1225,2583,1268,2204,2078,2180
AK,North Slope,1383,1036,1698,901,1318,1597,2185
AK,Northwest Arctic,1465,721,1581,750,1208,1696,2188
AK,Petersburg,567,926,750,852,753,1036,2195
AK,Prince of Wales-Hyder,1100,1344,1368,1118,1251,1529,2198
AK,Sitka,2102,1832,2484,1973,2517,2291,2220
AK,Skagway,382,200,344,184,341,235,2230
AK,Southeast Fairbanks,667,2472,703,2360,728,2894,2240
AK,Valdez-Cordova,1265,2595,1609,2617,1656,3401,2261
AK,Wrangell,293,825,369,763,380,923,2275
AK,Yakutat,163,139,174,126,201,184,2282
AK,Yukon-Koyukuk,1703,902,1645,923,1416,1685,2290
AL,Autauga,5936,18172,6363,17379,6093,17403,1001
AL,Baldwin,18458,72883,18424,66016,19386,61271,1003
AL,Barbour,4871,5454,5912,5550,5697,5866,1005
AL,Bibb,1874,6738,2202,6132,2299,6262,1007
AL,Blount,2156,22859,2970,20757,3522,20389,1009
AL,Bullock,3530,1140,4061,1251,4011,1391,1011
AL,Butler,3726,4901,4374,5087,4188,5485,1013
AL,Calhoun,13242,32865,15511,30278,16334,32348,1015
AL,Chambers,5784,7843,6871,7626,6799,8067,1017
AL,Cherokee,1547,8953,2132,7506,2306,7298,1019
AL,Chilton,2911,15081,3397,13932,3674,13960,1021
AL,Choctaw,3109,4106,3786,4152,3636,4223,1023
AL,Clarke,5749,7140,6334,7470,5914,7466,1025
AL,Clay,1237,5245,1777,4817,1760,4984,1027
AL,Cleburne,684,5764,971,5272,1168,5216,1029
AL,Coffee,4221,15875,4925,14666,5079,14919,1031
AL,Colbert,7312,16746,9166,13936,9703,14739,1033
AL,Conecuh,3080,3420,3555,3439,3429,3470,1035
AL,Coosa,1782,3381,2191,3049,2273,3248,1037
AL,Covington,2387,13267,3158,12153,3240,12444,1039
AL,Crenshaw,1664,4513,2050,4331,1938,4319,1041
AL,Cullman,3798,32989,5052,28999,5864,28896,1043
AL,Dale,4413,13808,5286,13108,5270,13886,1045
AL,Dallas,12836,5789,14612,6288,13986,6798,1047
AL,DeKalb,3622,21405,5239,18331,5658,17957,1049
AL,Elmore,8443,27634,8954,26253,8301,25777,1051
AL,Escambia,4605,9935,5489,9287,5188,9375,1053
AL,Etowah,10442,32353,12803,29130,13497,30595,1055
AL,Fayette,1362,6712,1817,6054,1994,5883,1057
AL,Franklin,2197,9466,3171,7567,3469,8048,1059
AL,Geneva,1525,9994,2039,9175,2134,9417,1061
AL,Greene,4013,838,4521,804,4408,876,1063
AL,Hale,4775,3173,5411,3210,4982,3200,1065
AL,Henry,2292,5632,3083,5628,3018,5585,1067
AL,Houston,10664,30728,12367,29270,12225,29254,1069
AL,Jackson,3673,16672,5822,14439,6374,14083,1071
AL,Jefferson,156873,134768,159876,141683,166121,149921,1073
AL,Lamar,1036,5823,1646,5457,1614,5419,1075
AL,Lauderdale,9952,27899,12511,23911,13329,24068,1077
AL,Lawrence,3627,10833,5069,8874,5164,9277,1079
AL,Lee,21230,34617,21381,32194,21498,32230,1081
AL,Limestone,9468,29067,9829,25295,9536,23598,1083
AL,Lowndes,4883,1751,5747,1756,5449,1809,1085
AL,Macon,7566,1431,9045,1331,9450,1396,1087
AL,Madison,62822,89520,62015,90884,64117,86965,1089
AL,Marengo,5615,5233,6167,5336,5926,5516,1091
AL,Marion,1432,11274,2249,9697,2600,9536,1093
AL,Marshall,4917,29233,6299,25867,7038,25727,1095
AL,Mobile,72186,95116,78760,94893,82181,98049,1097
AL,Monroe,4332,5795,4914,5741,5025,6175,1099
AL,Montgomery,58916,34003,63085,38332,62166,42031,1101
AL,Morgan,11254,37486,13439,35391,13895,36014,1103
AL,Perry,3824,1407,4568,1506,4457,1679,1105
AL,Pickens,3972,5456,4455,5124,4594,5434,1107
AL,Pike,5056,7693,6035,7963,5879,8004,1109
AL,Randolph,2291,7705,3078,7224,3064,7175,1111
AL,Russell,9579,9210,10500,8278,10085,8705,1113
AL,Shelby,22977,73020,20051,71436,20625,69060,1115
AL,St. Clair,5589,31651,5801,29031,6091,27649,1117
AL,Sumter,4746,1581,5421,1586,5264,1731,1119
AL,Talladega,12121,20614,13905,19246,13779,20112,1121
AL,Tallapoosa,5519,13594,6319,12396,6063,13116,1123
AL,Tuscaloosa,31762,47723,32048,45748,32796,45405,1125
AL,Walker,4497,24266,6557,21651,7420,20722,1127
AL,Washington,2374,6042,2976,5761,3067,5654,1129
AL,Wilcox,4339,1742,4868,1679,4612,1868,1131
AL,Winston,872,9228,1286,8312,1757,8103,1133
AR,Arkansas,1939,3826,2455,3897,2619,4185,5001
AR,Ashley,2408,5338,2859,4867,2976,5406,5003
AR,Baxter,4169,14682,5172,13688,6539,12852,5005
AR,Benton,28005,60871,22636,54646,23331,51124,5007
AR,Boone,2926,12235,3772,11159,4435,10575,5009
AR,Bradley,1317,2164,1449,2134,1680,2262,5011
AR,Calhoun,639,1556,660,1458,691,1462,5013
AR,Carroll,3342,6786,3696,6125,4172,6083,5015
AR,Chicot,2350,1716,2649,1670,3043,2119,5017
AR,Clark,3620,4404,3811,4343,4267,4608,5019
AR,Clay,1199,3781,1738,3225,2244,3032,5021
AR,Cleburne,2101,9458,2620,8693,2951,7962,5023
AR,Cleveland,723,2462,845,2313,911,2451,5025
AR,Columbia,3140,5456,3557,5790,3554,5861,5027
AR,Conway,2656,4849,3005,4514,3149,4691,5029
AR,Craighead,10538,22892,10527,20350,11294,18881,5031
AR,Crawford,4488,16686,4881,15145,5238,14688,5033
AR,Crittenden,8410,6964,9487,6998,10330,7650,5035
AR,Cross,1999,4584,2279,4269,2580,4393,5037
AR,Dallas,1165,1509,1337,1665,1471,1757,5039
AR,Desha,2228,1919,2443,1896,2569,1999,5041
AR,Drew,2365,3968,2630,3887,2598,3860,5043
AR,Faulkner,14629,29346,13621,26722,14955,25362,5045
